category,pre_copa_allegations_per_year,post_copa_allegations_per_year
Operation/Personnel Violations,226.4929859719438878,10.2564102564102564
Domestic,8.6372745490981964,15.3846153846153846
Use Of Force,40.9619238476953908,57.6923076923076923
Excessive Force,0.02004008016032064128,8.9743589743589744
Illegal Search,3.6472945891783567,5.1282051282051282
Conduct Unbecoming (Off-Duty),45.250501002004008,1.2820512820512821
False Arrest,0.64128256513026052104,7.6923076923076923
Lockup Procedures,33.6272545090180361,6.4102564102564103
Verbal Abuse,6.4328657314629259,8.9743589743589744
